Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Cumberland County, Kentucky",5884,5856,5900,5969,6000,144,2.4473147518694764
".Otsego County, Michigan",25089,25133,25324,25561,25747,614,2.4472876559448364
".Haskell County, Oklahoma",11558,11550,11615,11667,11832,282,2.4398684893580205
".Edmonson County, Kentucky",12132,12152,12237,12302,12448,296,2.4398285525881964
".Williamsburg city, Virginia",15413,15471,15609,15685,15847,376,2.439499124116006
".Waldo County, Maine",39596,39658,39978,40255,40620,962,2.4295383372057784
".Autauga County, Alabama",58809,58915,59203,59726,60342,1427,2.4264993453382986
".Grant County, Kentucky",24945,25015,25292,25474,25619,604,2.421326919222289
".Aitkin County, Minnesota",15706,15722,15957,16142,16102,380,2.419457532153317
".Stanley County, South Dakota",2981,2971,3035,3017,3043,72,2.41529688024153
".Wabaunsee County, Kansas",6876,6891,6970,7009,7057,166,2.414194299011053
".Sawyer County, Wisconsin",18073,18118,18226,18521,18552,434,2.401372212692967
".Yancey County, North Carolina",18474,18496,18764,18768,18938,442,2.3925516942730325
".Putnam County, Indiana",36734,36689,37043,37294,37567,878,2.3901562585071052
".Hampshire County, West Virginia",23094,23101,23360,23457,23649,548,2.3729107127392397
".Lincoln County, Tennessee",35320,35331,35435,36006,36169,838,2.372593431483579
".Quitman County, Georgia",2237,2227,2242,2259,2280,53,2.3692445239159587
".Taylor County, Texas",143203,143454,143922,145147,146836,3382,2.3616823669895184
".Franklin city, Virginia",8176,8146,8152,8274,8339,193,2.3605675146771037
".Mesa County, Colorado",155706,156011,157439,158531,159681,3670,2.3570061526209654
".Howell County, Missouri",39749,39799,40016,40623,40735,936,2.3547762207854284
".Campbell County, Tennessee",39275,39301,39455,39564,40223,922,2.347549331635901
".Berrien County, Georgia",18159,18144,18117,18215,18570,426,2.3459441599207005
".Doña Ana County, New Mexico",219569,220060,221732,223530,225210,5150,2.345504146760244
".Catawba County, North Carolina",160597,160888,161675,163167,164645,3757,2.3393961281966664
".Glasscock County, Texas",1113,1115,1136,1139,1141,26,2.336028751123091
".Androscoggin County, Maine",111132,111175,112732,113225,113765,2590,2.3305618543713784
".Kerr County, Texas",52591,52693,53175,53784,53915,1222,2.3235914890380482
".Henry County, Missouri",21945,21976,22208,22421,22485,509,2.319434951013898
".Cherokee County, Oklahoma",47080,47096,47659,48074,48185,1089,2.3130841121495327
".Lincoln County, Georgia",7689,7702,7749,7859,7879,177,2.3019898556379244
".Buncombe County, North Carolina",269431,269702,271945,273790,275901,6199,2.3007745953509433
".Stone County, Mississippi",18336,18335,18578,18641,18756,421,2.2960296684118675
".Lawrence County, Missouri",38011,38000,38268,38689,38872,872,2.2940727684091446
".Copper River Census Area, Alaska",2616,2614,2621,2609,2674,60,2.293577981651376
".Mills County, Texas",4453,4446,4489,4498,4548,102,2.2905906130698406
".Menifee County, Kentucky",6114,6146,6185,6236,6286,140,2.289826627412496
".Henderson County, North Carolina",116310,116574,117155,118298,119230,2656,2.283552575015046
".Pulaski County, Georgia",9854,9870,9570,9963,10095,225,2.2833367160543943
".Graham County, Arizona",38541,38646,38921,38822,39525,879,2.2806880983887288
".Montcalm County, Michigan",66604,66635,67320,67209,68154,1519,2.2806438051768665
".Richland County, South Carolina",416147,415671,417294,421526,425138,9467,2.2749172768276593
".Dane County, Wisconsin",561508,562615,561542,567758,575347,12732,2.26746546798977
".Navajo County, Arizona",106714,106763,107726,108800,109175,2412,2.260247015386922
".Fleming County, Kentucky",15087,15101,15265,15278,15442,341,2.2602240339365016
".Hart County, Kentucky",19281,19290,19477,19594,19724,434,2.2509205954048026
".Alachua County, Florida",278474,279737,281889,284041,285994,6257,2.246888398916955
".Butler County, Pennsylvania",193774,194077,196759,197368,198413,4336,2.2376583029715027
".Beadle County, South Dakota",19151,19165,19181,19488,19591,426,2.22442692287609
".Clay County, Missouri",253329,254137,255871,256930,259772,5635,2.2243801538710533
".Douglas County, Minnesota",38996,39087,39298,39684,39953,866,2.2207405887783365
".Orange County, Vermont",29283,29295,29630,29880,29943,648,2.212888023768057
".Delta County, Colorado",31201,31056,31392,31560,31746,690,2.21146758116727
".Columbia County, Oregon",52593,52724,53202,53607,53880,1156,2.198011142167209
".Cumberland County, Maine",303065,303585,306107,308837,310230,6645,2.19259894742052
".Gunnison County, Colorado",16921,16950,17294,17320,17321,371,2.1925418119496483
".Cumberland County, Virginia",9676,9666,9703,9751,9878,212,2.190988011575031
".Allen County, Indiana",385394,386103,389163,391644,394545,8442,2.190485580989844
".Codington County, South Dakota",28321,28351,28484,28736,28971,620,2.1891882348787117
".Ottawa County, Michigan",296203,296907,298393,300918,303372,6465,2.182624753969406
".Anoka County, Minnesota",363904,364499,367802,369108,372441,7942,2.182443721421034
".Shenandoah County, Virginia",44190,44265,44842,44936,45228,963,2.1792260692464356
".Deuel County, Nebraska",1837,1831,1847,1901,1871,40,2.1774632553075666
".Roberts County, Texas",828,822,801,812,840,18,2.1739130434782608
".Van Buren County, Arkansas",15795,15799,15777,16103,16142,343,2.1715732826843936
".Bartholomew County, Indiana",82211,82218,82729,83394,84003,1785,2.1712422911775797
".Sabine County, Texas",9896,9892,10013,10041,10106,214,2.1624898949070332
".Stokes County, North Carolina",44524,44572,44625,45136,45532,960,2.1561405084898033
".Presque Isle County, Michigan",12988,13005,13172,13343,13285,280,2.15583615645211
".Le Sueur County, Minnesota",28667,28637,28900,29124,29255,618,2.1557888861757424
".Montgomery County, Georgia",8610,8576,8646,8643,8761,185,2.148664343786295
".Lincoln County, Kentucky",24281,24255,24295,24419,24776,521,2.1457106379473663
".Johnson County, Tennessee",17949,17990,18053,18046,18375,385,2.144966293386818
".Martinsville city, Virginia",13480,13474,13534,13697,13763,289,2.1439169139465872
".Carroll County, Maryland",172895,172941,174313,175472,176639,3698,2.1388704126782154
".Grafton County, New Hampshire",91122,91198,90495,93131,93146,1948,2.1377932881192248
".Pasquotank County, North Carolina",40567,40577,40807,41168,41444,867,2.1372051174600046
".Craighead County, Arkansas",111242,111619,111794,112863,113993,2374,2.1340860466370617
".Sagadahoc County, Maine",36703,36732,37170,37372,37513,781,2.12789145301474
".Mayes County, Oklahoma",39050,39059,39259,39570,39889,830,2.1254801536491676
".Beaver County, Utah",7069,7083,7213,7317,7233,150,2.1219408685811287
".Harris County, Texas",4731122,4734792,4735517,4781337,4835125,100333,2.120702023748278
".Washoe County, Nevada",486493,487710,494300,496980,498022,10312,2.119660508989852
".Polk County, Oregon",87431,87956,89373,89593,89805,1849,2.114810536308632
".Jackson County, Mississippi",143245,143373,144459,144963,146389,3016,2.1054836119934377
".Randolph County, North Carolina",144147,144425,145154,146196,147458,3033,2.104102062477887
".Coryell County, Texas",83085,83130,84389,84205,84878,1748,2.103869531202985
".Blaine County, Nebraska",428,427,462,452,436,9,2.102803738317757
".DeKalb County, Indiana",43260,43292,43395,43813,44198,906,2.0943134535367545
".Sullivan County, New Hampshire",43058,43068,43605,43918,43969,901,2.092526359793766
".Barry County, Missouri",34533,34544,34762,34944,35265,721,2.0878579909072483
".Madison County, Texas",13462,13461,13512,13641,13742,281,2.0873570049026893
".Payne County, Oklahoma",81647,81648,82163,82701,83352,1704,2.087033203914412
".Washington County, Oklahoma",52455,52615,52903,53238,53706,1091,2.0798779906586597
".Creek County, Oklahoma",71752,71841,72224,72686,73332,1491,2.0779908573977033
".Live Oak County, Texas",11333,11349,11386,11541,11584,235,2.073590399717639
".Rankin County, Mississippi",157025,157162,158123,158978,160417,3255,2.0729183251074668
".White County, Arkansas",76824,76860,77109,77616,78452,1592,2.072269082578361
".Trigg County, Kentucky",14053,14078,14220,14348,14369,291,2.070732227994023
".Craven County, North Carolina",100722,100307,100396,101087,102391,2084,2.0690613768590773
".Parke County, Indiana",16147,16150,16486,16367,16484,334,2.068495695794885
".Madison County, Iowa",16546,16629,16793,17040,16971,342,2.0669648253354285
".Penobscot County, Maine",152187,152169,153359,154728,155312,3143,2.0652223908743848
".San Saba County, Texas",5724,5727,5829,5880,5845,118,2.0614954577218727
".Baraga County, Michigan",8152,8142,8286,8283,8310,168,2.060843964671246
".Kittitas County, Washington",44310,44599,44645,45122,45508,909,2.051455653351388
".Fannin County, Georgia",25321,25436,25797,25733,25955,519,2.049682082066269
".Kennebec County, Maine",124503,124712,125752,126535,127259,2547,2.0457338377388496
".Nelson County, Kentucky",46727,46779,47127,47359,47730,951,2.0352258865324115
".Grant County, Arkansas",17960,18018,18123,18129,18383,365,2.032293986636971
".Bath County, Kentucky",12747,12716,12795,12828,12975,259,2.0318506315211424
".Carroll County, Arkansas",28257,28240,28539,28717,28814,574,2.031355062462399
".Troup County, Georgia",69426,69333,69518,70247,70742,1409,2.0294990349436812
".Grundy County, Illinois",52539,52516,52959,53149,53578,1062,2.021355564437846
".Adair County, Kentucky",18904,18883,18966,19097,19264,381,2.0154464663563267
".Northampton County, Pennsylvania",312949,312784,318157,317900,319091,6307,2.0153443532332744
".Coleman County, Texas",7687,7688,7722,7822,7842,154,2.003382333810329
".Ozaukee County, Wisconsin",91509,91629,92600,93021,93460,1831,2.00089608672371
".Nez Perce County, Idaho",42091,42145,42500,42909,42987,842,2.000427644864698
".Glynn County, Georgia",84500,84482,84786,85145,86172,1690,2.0
".Jones County, Georgia",28353,28402,28406,28512,28969,567,1.9997883821817795
".King and Queen County, Virginia",6606,6588,6669,6714,6720,132,1.9981834695731153
".Kingfisher County, Oklahoma",15190,15178,15223,15228,15481,303,1.9947333772218565
".Newaygo County, Michigan",49982,50111,50413,50728,51108,997,1.9947180985154653
".Merrimack County, New Hampshire",153805,154038,154622,156459,157103,3065,1.9927830694710835
".Lamar County, Texas",50081,50131,50349,50515,51127,996,1.9887781793494537
".Manistee County, Michigan",25030,25066,25328,25365,25562,496,1.981622053535757
".Brantley County, Georgia",18021,18044,18119,18210,18401,357,1.9810221408356916
".Jefferson County, Washington",32971,33061,33553,33570,33714,653,1.9805283430893816
".Pawnee County, Oklahoma",15555,15557,15707,15681,15864,307,1.9736419157827065
".Whatcom County, Washington",226852,227449,226701,230598,231919,4470,1.9704476927688535
".Lafayette County, Wisconsin",16611,16618,16830,16906,16945,327,1.9685750406357234
".Yolo County, California",216409,216291,213141,222018,220544,4253,1.9652602248520163
".Belknap County, New Hampshire",63707,63776,64599,64705,65027,1251,1.9636774608755707
".Sibley County, Minnesota",14825,14793,14923,14928,15084,291,1.962900505902192
".Lee County, Georgia",33164,33222,33209,33678,33872,650,1.9599565794234712
".Franklin County, Virginia",54467,54482,55017,55079,55549,1067,1.9589843391411312
".Linn County, Oregon",128611,128981,130120,130622,131496,2515,1.9555092488200854
".Calvert County, Maryland",92789,92915,94233,94559,94728,1813,1.953895397083706
".Mercer County, Kentucky",22644,22655,22860,22900,23097,442,1.951951951951952
".Decatur County, Tennessee",11436,11433,11402,11549,11656,223,1.9499825113676112
".Guilford County, North Carolina",541297,539321,542495,546457,549866,10545,1.9480987332277842
".Franklin County, Washington",96748,97150,98102,98582,99034,1884,1.9473270765287136
".Carter County, Missouri",5200,5202,5321,5254,5303,101,1.942307692307692
".Lowndes County, Georgia",118247,118416,118916,119499,120712,2296,1.9416983094708535
".Gloucester County, New Jersey",302273,302563,304592,306767,308423,5860,1.9386448673880896
".Barry County, Michigan",62421,62598,63141,63402,63808,1210,1.9384502010541322
".Morgan County, Indiana",71776,71836,72275,72260,73227,1391,1.9379736959429337
".Rockingham County, New Hampshire",314180,314621,318260,319633,320689,6068,1.9313769176904958
".Madison County, Virginia",13841,13861,13957,14008,14128,267,1.929051369120728
".Nicholas County, Kentucky",7532,7541,7733,7786,7686,145,1.9251194901752522
".Prairie County, Montana",1091,1091,1097,1108,1112,21,1.924839596700275
".Franklin County, Arkansas",17103,17139,17166,17270,17468,329,1.9236391276384261
".Greene County, Arkansas",45738,45864,46341,46408,46743,879,1.9218155581791945
".Falls County, Texas",16968,16960,17113,16956,17286,326,1.9212635549269212
".Union County, South Dakota",16818,16860,16876,17063,17183,323,1.9205613033654418
".Spokane County, Washington",539340,541175,545510,549740,551455,10280,1.9060332999592093
".Glascock County, Georgia",2887,2899,2901,2928,2954,55,1.9050917907862834
".Childress County, Texas",6668,6661,6787,6841,6788,127,1.9046190761847632
".Jasper County, Indiana",32926,32908,33165,33345,33535,627,1.904270181619389
".Marshall County, South Dakota",4310,4308,4324,4363,4390,82,1.9025522041763343
".Franklin County, Vermont",49951,50046,50430,50719,50994,948,1.8978599027046505
".Eau Claire County, Wisconsin",105713,105897,106017,106786,107903,2006,1.8975906463727261
".Grays Harbor County, Washington",75634,75855,76838,77041,77290,1435,1.8972948673876828
".Stillwater County, Montana",8964,9003,9024,9169,9173,170,1.896474788041053
".Leavenworth County, Kansas",81901,81966,82398,82922,83518,1552,1.8949707573778098
".Jefferson County, Missouri",226569,226937,227993,229220,231230,4293,1.8947870185241582
".Washburn County, Wisconsin",16623,16616,16748,16871,16930,314,1.8889490465018348
".Pierce County, Wisconsin",42206,42229,41606,42552,43026,797,1.8883571056247928
".Metcalfe County, Kentucky",10290,10288,10391,10408,10482,194,1.8853255587949467
".Gladwin County, Michigan",25387,25378,25475,25621,25853,475,1.871036357190688
".Upson County, Georgia",27700,27745,27689,28093,28263,518,1.8700361010830324
".Perry County, Arkansas",10018,9997,9995,10073,10184,187,1.8666400479137553
".Pope County, Arkansas",63384,63410,63778,64053,64593,1183,1.8664016155496657
".Sullivan County, New York",78613,78453,79702,79735,79920,1467,1.8661035706562528
".Washington County, Kentucky",12029,12043,12080,12060,12267,224,1.8621664311247819
".Holmes County, Florida",19659,19578,19309,19653,19944,366,1.8617427132611017
".Granville County, North Carolina",61003,61061,61365,61702,62192,1131,1.8540071799747555
".Colbert County, Alabama",57232,57304,57644,57993,58361,1057,1.8468688845401173
".Butler County, Kansas",67376,67391,67976,68289,68632,1241,1.8419021610068869
".Osceola County, Michigan",22892,22909,23196,23279,23330,421,1.8390704176131398
".Wayne County, Nebraska",9699,9696,9864,9899,9874,178,1.8352407464687082
".Laurens County, South Carolina",67537,67634,67835,67951,68873,1239,1.8345499503975597
".Hancock County, Maine",55482,55511,56355,56549,56526,1015,1.8294221549331315
".Greeley County, Nebraska",2189,2179,2181,2235,2219,40,1.827318410232983
".Gilpin County, Colorado",5806,5820,5893,5886,5926,106,1.8256975542542198
".Calloway County, Kentucky",37544,37596,37896,38093,38280,684,1.8218623481781375
".Johnson County, Kansas",609877,611149,614889,619091,622237,11088,1.8180715127804459
".Tulsa County, Oklahoma",669277,670702,674051,677061,682868,12166,1.8177824727280336
".Claiborne County, Tennessee",32041,32072,32061,32357,32654,582,1.816422708404856
".Moody County, South Dakota",6332,6335,6305,6382,6450,115,1.8161718256475046
".Briscoe County, Texas",1434,1419,1400,1439,1445,26,1.813110181311018
".Cecil County, Maryland",103724,103800,104056,104870,105672,1872,1.8047896340287688
".Dent County, Missouri",14416,14387,14454,14488,14647,260,1.8035516093229744
".Ashe County, North Carolina",26582,26584,26757,27062,27063,479,1.8019712587465202
".Cheboygan County, Michigan",25586,25587,25754,25964,26048,461,1.8017665911045102
".York County, Nebraska",14126,14102,14239,14312,14356,254,1.7981027891830668
".Madison County, Indiana",130121,130167,130841,131383,132504,2337,1.796020626954911
".Oconto County, Wisconsin",38965,39077,39421,39696,39775,698,1.7913512126267164
".Chesterfield County, South Carolina",43272,43256,43337,43741,44031,775,1.7909964873359214
".Snohomish County, Washington",827953,829933,836097,840452,844761,14828,1.7909229147065113
".Marion County, Tennessee",28838,28870,28919,29050,29382,512,1.775435189680283
".Duplin County, North Carolina",48703,48658,48558,48934,49520,862,1.7699115044247788
".Carlton County, Minnesota",36191,36185,36440,36544,36825,640,1.7683954574341687
".Laclede County, Missouri",36037,36043,36156,36345,36680,637,1.767627715958598
".Greene County, Missouri",298913,299328,301098,303197,304611,5283,1.7674038934405663
".Goliad County, Texas",7016,7020,7133,7120,7144,124,1.767388825541619
".Miami County, Ohio",108775,108959,109411,110213,110876,1917,1.7623534819581703
".Cooper County, Missouri",17103,16646,16676,16763,16947,301,1.7599251593287728
".Morrow County, Ohio",34945,34980,35205,35336,35595,615,1.759908427528974
".Elbert County, Georgia",19638,19668,19571,19873,20013,345,1.7567980446073939
".Ontonagon County, Michigan",5813,5804,5870,5921,5906,102,1.754687768794082
".Karnes County, Texas",14707,14760,14732,14945,15018,258,1.7542666757326444
".Henry County, Kentucky",15681,15698,15708,15760,15973,275,1.7537146865633568
".Jackson County, Alabama",52579,52545,52719,52923,53467,922,1.7535517982464481
".Jasper County, Missouri",122770,122907,123324,124016,125056,2149,1.7504276288995684
".Brown County, Texas",38092,38043,38135,38443,38709,666,1.74839861388218
".Dade County, Missouri",7568,7584,7596,7665,7716,132,1.744186046511628
".Morton County, North Dakota",33287,33315,33565,33705,33895,580,1.7424219665334817
".Trimble County, Kentucky",8468,8460,8549,8527,8607,147,1.735947094945678
".York County, Pennsylvania",456441,456720,459183,461049,464640,7920,1.7351640190079332
".Edmunds County, South Dakota",3987,3988,4034,4071,4057,69,1.7306245297215952
".Pima County, Arizona",1043435,1045175,1048914,1057476,1063162,17987,1.7238256336043933
".Johnson County, Missouri",54010,54031,54194,54449,54962,931,1.7237548602110722
".Green Lake County, Wisconsin",19016,19017,19249,19208,19344,327,1.7196045435422802
".Madison County, Ohio",43843,43849,44428,43581,44602,753,1.7174919599479963
".Treasure County, Montana",760,759,768,754,772,13,1.710526315789474
".Aurora County, South Dakota",2748,2735,2736,2762,2782,47,1.710334788937409
".Monongalia County, West Virginia",105821,105912,106521,106978,107718,1806,1.7066555787603594
".Taylor County, Kentucky",26020,26000,26187,26396,26443,443,1.7025365103766332
".Pottawatomie County, Oklahoma",72458,72559,73045,73351,73791,1232,1.7002953435093435
".Forest County, Wisconsin",9179,9169,9257,9332,9325,156,1.699531539383375
".Golden Valley County, Montana",824,821,815,826,835,14,1.6990291262135921
".Gray County, Kansas",5655,5647,5664,5711,5743,96,1.6976127320954906
".Alamosa County, Colorado",16380,16377,16579,16587,16655,278,1.6971916971916972
".Lower Connecticut River Valley Planning Region, Connecticut",174225,173268,175430,175982,176215,2947,1.6914908882192567
".Storey County, Nevada",4100,4108,4142,4165,4177,69,1.6829268292682928
".Montgomery County, Indiana",37930,37935,38057,38319,38573,638,1.6820458739783815
".Todd County, Kentucky",12248,12288,12301,12394,12494,206,1.6819072501632921
".Randolph County, Arkansas",18574,18595,18839,18852,18907,312,1.6797674168192098
".Cleveland County, Oklahoma",295525,296236,298110,299484,301193,4957,1.6773538617714239
".Conway County, Arkansas",20710,20730,20902,21021,21077,347,1.6755190729116367
".Cowlitz County, Washington",110728,111014,111685,112064,112864,1850,1.6707607831804059
".Roscommon County, Michigan",23455,23472,23653,23682,23863,391,1.667021956938819
".Union County, Mississippi",27791,27822,28033,28132,28284,462,1.6624086934619122
".Clay County, Tennessee",7580,7588,7586,7656,7714,126,1.6622691292875988
".Hardee County, Florida",25330,25339,25322,25651,25760,421,1.662060797473352
".Strafford County, New Hampshire",130895,131068,131534,132571,133243,2175,1.6616371901142137
".Bristol Bay Borough, Alaska",843,830,842,870,844,14,1.6607354685646498
".Pulaski County, Kentucky",65039,65116,65571,65767,66191,1075,1.652854441181445
".Chesapeake city, Virginia",249369,249781,251763,252459,253886,4105,1.646154894954866
".Somerset County, Maine",50481,50473,50782,51118,51302,829,1.642202016600305
".Missaukee County, Michigan",15055,15065,15173,15232,15311,246,1.6340086350049816
".Dickinson County, Iowa",17703,17767,17868,18048,18056,289,1.6324916680788566
".Barnstable County, Massachusetts",228995,228012,232315,232078,231735,3723,1.6257996899495621
".Phelps County, Missouri",44636,44559,44899,45273,45284,725,1.6242494847208533
".Mills County, Iowa",14483,14398,14467,14535,14633,235,1.622592004418974
".Burlington County, New Jersey",461869,461682,464479,466101,469167,7485,1.6205893879000324
".El Paso County, Colorado",730405,732384,737287,740596,744215,11831,1.6197862829526084
".Dinwiddie County, Virginia",27941,27891,27997,28099,28343,452,1.6176944275437528
".Orange County, New York",401315,400986,405167,406491,407470,6484,1.615688424305097
".Polk County, Wisconsin",44982,45039,45466,45546,45762,723,1.607309590502868
".Amelia County, Virginia",13260,13267,13306,13368,13480,213,1.6063348416289591
".Gregg County, Texas",124238,124251,124130,125559,126243,1992,1.6033741689338206
".Clinton County, Missouri",21176,21209,21213,21303,21548,339,1.60086890819796
".Tipton County, Tennessee",60974,61042,61059,61650,62015,973,1.5957621281201824
".Dakota County, Minnesota",439878,440423,442730,443272,447440,7017,1.5952150368965938
".Montgomery County, Arkansas",8482,8485,8635,8543,8620,135,1.5916057533600567
".Marquette County, Wisconsin",15591,15590,15784,15777,15838,248,1.59066127894298
".Hardin County, Tennessee",26824,26804,26871,27065,27229,425,1.5844020280345958
".Rutherford County, North Carolina",64446,64486,64616,64945,65507,1021,1.5842721037768053
".Rusk County, Texas",52215,52252,52695,52524,53079,827,1.5838360624341665
".Coke County, Texas",3285,3300,3304,3322,3352,52,1.5829528158295283
".Uvalde County, Texas",24575,24571,24803,24890,24960,389,1.582909460834181
".Warren County, New Jersey",109637,109520,110567,110903,111252,1732,1.5797586581172414
".Stearns County, Minnesota",158296,158480,159204,160242,160977,2497,1.5774245716884825
".Osage County, Missouri",13275,13259,13398,13398,13468,209,1.5743879472693032
".Montgomery County, Missouri",11312,11281,11433,11479,11459,178,1.5735502121640734
".Johnson County, Arkansas",25749,25724,25957,25970,26129,405,1.5728766165676336
".Cleveland County, North Carolina",99526,99817,100341,100653,101378,1561,1.5684343789562527
".Noble County, Ohio",14110,14090,14309,14325,14311,221,1.566265060240964
".Waushara County, Wisconsin",24524,24550,24760,24927,24934,384,1.5658130810634479
".Saluda County, South Carolina",18855,18828,18822,18984,19123,295,1.5645717316361707
".Benton County, Tennessee",15867,15855,15837,15994,16103,248,1.5629923741097875
".Fremont County, Wyoming",39235,39202,39416,39566,39815,613,1.5623805275901619
".Ottawa County, Kansas",5729,5729,5830,5806,5818,89,1.5534997381742015
".Floyd County, Georgia",98582,98583,98487,99437,100113,1530,1.5520074658659795
".Clermont County, Ohio",208595,208750,209893,210679,211972,3222,1.544619957333589
".Dallam County, Texas",7123,7127,7175,7235,7237,110,1.544293134915064
".Vernon County, Wisconsin",30711,30696,30917,31063,31170,474,1.543420924098857
".Northeastern Connecticut Planning Region, Connecticut",95336,95222,95605,96148,96692,1470,1.5419149114710078
".Russell County, Kentucky",17996,18002,18172,18185,18279,277,1.5392309402089352
".Morgan County, Colorado",29108,29076,29006,29266,29524,448,1.5390957812285282
".Young County, Texas",17868,17849,17943,18012,18124,275,1.5390642489366466
".Sussex County, New Jersey",144220,143915,145721,145575,146132,2217,1.5372347801969213
".Clare County, Michigan",30863,30843,31131,31307,31316,473,1.5325794640832064
".Stephens County, Georgia",26779,26818,26765,26746,27228,410,1.5310504499794615
".Eastland County, Texas",17723,17766,17826,17893,18037,271,1.5290864977712577
".Meriwether County, Georgia",20620,20617,20725,20890,20931,314,1.5227934044616875
".Essex County, Vermont",5920,5920,5970,5997,6010,90,1.5202702702702704
".Naugatuck Valley Planning Region, Connecticut",450435,449285,452281,453590,456128,6843,1.5191981084951214
".Transylvania County, North Carolina",32984,33048,33272,33373,33549,501,1.5189182634004366
".Cheshire County, New Hampshire",76454,76547,76846,77463,77703,1156,1.5120202997881078
".Caldwell County, Missouri",8812,8822,8904,8939,8955,133,1.5093054925102134
".Panola County, Texas",22496,22499,22556,22742,22838,339,1.5069345661450926
".Washington County, Maine",31090,31088,31192,31527,31555,467,1.5020907044065617
".Carroll County, Kentucky",10798,10825,10896,10939,10987,162,1.5002778292276346
".Carroll County, Tennessee",28444,28434,28295,28418,28860,426,1.4976796512445507
".Marquette County, Michigan",66013,66012,65739,66548,66999,987,1.4951600442337116
".Morgan County, Alabama",123424,123288,123375,124231,125133,1845,1.4948470313715323
".Jackson County, Texas",14990,14997,15118,15183,15221,224,1.4943295530353569
".Lucas County, Iowa",8633,8618,8706,8702,8747,129,1.494266187883702
".Douglas County, Kansas",118779,118784,119493,120007,120553,1769,1.4893205027824783
".Kingsbury County, South Dakota",5180,5199,5201,5279,5276,77,1.4864864864864866
".Carson County, Texas",5799,5792,5714,5816,5878,86,1.483014312812554
".Lake County, Oregon",8163,8172,8290,8373,8293,121,1.4822981746906776
".Door County, Wisconsin",30065,30117,30425,30551,30562,445,1.4801263928155661
".Garfield County, Colorado",61686,61794,62107,62256,62707,913,1.4800765165515677
".Montgomery County, Kentucky",28109,28112,28230,28357,28527,415,1.4763954605286562
".Todd County, Minnesota",25266,25294,25288,25533,25667,373,1.4762922504551572
".Franklin County, Missouri",104689,104864,105307,105793,106404,1540,1.4710236987649132
".Nash County, North Carolina",94967,95157,95204,95820,96551,1394,1.4678783156254278
".Hamilton County, Nebraska",9424,9400,9384,9439,9537,137,1.4537351443123938
".Nantucket County, Massachusetts",14251,14237,14506,14443,14444,207,1.4525296470423128
".Rockingham County, North Carolina",91104,91195,91211,91966,92518,1323,1.4521865121180189
".Iron County, Wisconsin",6131,6139,6172,6199,6228,89,1.4516392105692384
".Fountain County, Indiana",16480,16492,16480,16620,16731,239,1.4502427184466018
".Livingston County, Michigan",193861,193968,195333,196134,196757,2789,1.4386596582087166
".Daviess County, Missouri",8432,8430,8400,8457,8551,121,1.4350094876660342
".Botetourt County, Virginia",33595,33643,33998,34100,34125,482,1.4347373121000149
".Crawford County, Georgia",12128,12103,12139,12169,12277,174,1.4346965699208443
".Otero County, New Mexico",67835,67862,68486,68517,68835,973,1.434362792068991
".Burleigh County, North Dakota",98464,98601,98965,99396,100012,1411,1.433011049723757
".Cape Girardeau County, Missouri",81710,81821,82132,82931,82984,1163,1.4233263982376698
".Wells County, Indiana",28169,28155,28154,28298,28555,400,1.4200007100003549
".Logan County, Arkansas",21128,21100,21229,21258,21400,300,1.419916698220371
".Somerset County, Maryland",24615,24561,24546,24608,24910,349,1.4178346536664637
".Caledonia County, Vermont",30232,30182,30457,30587,30610,428,1.415718444032813
".Prince William County, Virginia",482200,482834,485352,487012,489640,6806,1.4114475321443383
".Lorain County, Ohio",312956,313498,314216,316031,317910,4412,1.4097828448727618
".Uinta County, Wyoming",20445,20457,20681,20727,20745,288,1.408657373440939
".Person County, North Carolina",39088,39187,39148,39343,39737,550,1.4070814572247237
".Clay County, Minnesota",65316,65344,65651,65860,66258,914,1.399350848184212
".Yadkin County, North Carolina",37216,37254,37276,37507,37774,520,1.3972484952708513
".Holt County, Missouri",4231,4189,4232,4254,4248,59,1.3944693925785865
".St. Bernard Parish, Louisiana",43765,43856,44324,44419,44463,607,1.3869530446703988
".Steuben County, Indiana",34439,34441,34702,34772,34917,476,1.3821539533668226
".Grayson County, Kentucky",26421,26460,26583,26643,26825,365,1.3814768555315846
".Montgomery County, North Carolina",25760,25731,25862,25841,26085,354,1.374223602484472
".Deuel County, South Dakota",4294,4295,4290,4361,4354,59,1.3740102468560782
".Chowan County, North Carolina",13707,13703,13761,13898,13891,188,1.3715619756328883
".Montgomery County, Pennsylvania",856541,856998,864249,865044,868742,11744,1.3710960712913918
".Gallatin County, Kentucky",8693,8673,8763,8773,8792,119,1.3689175198435524
".Pepin County, Wisconsin",7320,7341,7374,7378,7441,100,1.366120218579235
".Calumet County, Wisconsin",52450,52485,52583,52712,53199,714,1.361296472831268
".Love County, Oklahoma",10145,10158,10237,10174,10296,138,1.3602759980285855
".Bon Homme County, South Dakota",6995,6970,7000,7064,7065,95,1.3581129378127232
".Woodford County, Kentucky",26873,26904,27082,27053,27268,364,1.3545194060953372
".Escambia County, Florida",321900,322568,323459,323860,326928,4360,1.354457906182044
".Cobb County, Georgia",766112,766378,766662,771840,776743,10365,1.35293534104674
".Franklin County, Indiana",22791,22788,22889,23083,23096,308,1.3514106445526743
