table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
".Hale County, Texas","32,526","32,465","32,208","31,966","31,761"
".Hall County, Texas","2,815","2,795","2,842","2,818","2,818"
".Hamilton County, Texas","8,221","8,248","8,230","8,313","8,619"
".Hansford County, Texas","5,273","5,252","5,120","5,111","5,071"
".Hardeman County, Texas","3,548","3,558","3,546","3,525","3,490"
".Hardin County, Texas","56,235","56,350","57,133","57,840","58,261"
".Harris County, Texas","4,731,122","4,734,792","4,735,517","4,781,337","4,835,125"
".Harrison County, Texas","68,832","68,801","69,527","70,038","70,895"
".Hartley County, Texas","5,375","5,349","5,393","5,228","5,145"
".Haskell County, Texas","5,413","5,433","5,375","5,376","5,385"
".Hays County, Texas","241,057","243,968","255,955","269,103","280,486"
".Hemphill County, Texas","3,384","3,365","3,324","3,225","3,189"
".Henderson County, Texas","82,147","82,403","83,653","84,490","86,158"
".Hidalgo County, Texas","870,787","872,856","879,865","888,286","898,471"
".Hill County, Texas","35,870","35,964","36,378","37,266","38,101"
".Hockley County, Texas","21,542","21,504","21,265","21,278","21,460"
".Hood County, Texas","61,598","62,057","64,293","66,394","67,774"
".Hopkins County, Texas","36,791","36,827","37,210","37,793","38,172"
".Houston County, Texas","22,072","22,062","21,962","21,943","22,066"
".Howard County, Texas","34,866","34,816","34,365","30,732","30,554"
".Hudspeth County, Texas","3,201","3,196","3,275","3,416","3,451"
".Hunt County, Texas","99,953","100,254","103,591","108,438","113,347"
".Hutchinson County, Texas","20,613","20,569","20,438","20,222","20,033"
".Irion County, Texas","1,512","1,510","1,534","1,534","1,549"
".Jack County, Texas","8,473","8,487","8,550","8,764","8,875"
".Jackson County, Texas","14,990","14,997","15,118","15,183","15,221"
".Jasper County, Texas","32,978","32,919","32,552","32,495","32,694"
".Jeff Davis County, Texas","1,998","1,984","1,959","1,906","1,856"
".Jefferson County, Texas","256,521","256,133","253,727","251,601","251,496"
".Jim Hogg County, Texas","4,835","4,846","4,790","4,774","4,720"
".Jim Wells County, Texas","38,893","38,879","38,893","38,729","38,662"
".Johnson County, Texas","180,008","180,964","187,511","195,496","202,906"
".Jones County, Texas","19,654","19,682","19,811","20,271","20,381"
".Karnes County, Texas","14,707","14,760","14,732","14,945","15,018"
".Kaufman County, Texas","145,307","147,140","158,313","172,611","185,690"
".Kendall County, Texas","44,272","44,539","46,861","49,019","50,537"
".Kenedy County, Texas",349,348,339,354,343
".Kent County, Texas",755,763,748,744,734
".Kerr County, Texas","52,591","52,693","53,175","53,784","53,915"
".Kimble County, Texas","4,282","4,293","4,348","4,420","4,442"
".King County, Texas",263,267,256,234,217
".Kinney County, Texas","3,132","3,126","3,122","3,131","3,148"
".Kleberg County, Texas","31,042","30,986","30,625","30,376","30,069"
".Knox County, Texas","3,354","3,347","3,318","3,284","3,302"
".Lamar County, Texas","50,081","50,131","50,349","50,515","51,127"
".Lamb County, Texas","13,049","13,011","12,909","12,786","12,711"
".Lampasas County, Texas","21,629","21,705","22,224","22,790","23,262"
".La Salle County, Texas","6,666","6,663","6,708","6,556","6,537"
".Lavaca County, Texas","20,342","20,354","20,538","20,653","20,571"
".Lee County, Texas","17,483","17,506","17,679","17,971","18,240"
".Leon County, Texas","15,717","15,732","16,009","16,220","16,538"
".Liberty County, Texas","91,631","92,479","97,488","102,462","108,272"
".Limestone County, Texas","22,149","22,144","22,060","22,164","22,250"
".Lipscomb County, Texas","3,054","3,031","2,895","2,846","2,906"
".Live Oak County, Texas","11,333","11,349","11,386","11,541","11,584"
".Llano County, Texas","21,248","21,290","22,056","22,623","22,875"
".Loving County, Texas",63,65,54,44,43
".Lubbock County, Texas","310,633","311,578","314,642","317,761","320,940"
".Lynn County, Texas","5,593","5,609","5,645","5,738","5,761"
".McCulloch County, Texas","7,631","7,588","7,522","7,468","7,452"
".McLennan County, Texas","260,588","261,193","263,721","266,162","268,583"
".McMullen County, Texas",599,597,592,569,568
".Madison County, Texas","13,462","13,461","13,512","13,641","13,742"
".Marion County, Texas","9,727","9,752","9,620","9,550","9,571"
".Martin County, Texas","5,238","5,252","5,214","5,228","5,216"
".Mason County, Texas","3,951","3,968","3,929","3,978","3,931"
".Matagorda County, Texas","36,254","36,287","36,339","36,122","36,359"
".Maverick County, Texas","57,884","57,875","57,683","57,628","57,762"
".Medina County, Texas","50,746","50,952","52,328","53,657","54,797"
".Menard County, Texas","1,963","1,960","1,968","1,979","1,958"
".Midland County, Texas","169,986","170,362","168,257","172,019","177,108"
".Milam County, Texas","24,747","24,774","25,212","25,622","25,951"
".Mills County, Texas","4,453","4,446","4,489","4,498","4,548"
".Mitchell County, Texas","8,990","9,009","9,042","8,938","9,075"
".Montague County, Texas","19,967","19,999","20,437","21,079","21,598"
".Montgomery County, Texas","620,460","625,291","650,755","679,554","711,354"
".Moore County, Texas","21,358","21,264","21,136","21,094","21,190"
".Morris County, Texas","11,974","11,976","12,007","12,052","12,066"
".Motley County, Texas","1,061","1,061","1,071","1,034","1,020"
".Nacogdoches County, Texas","64,646","64,616","64,778","64,994","65,375"
".Navarro County, Texas","52,623","52,838","53,637","54,687","55,635"
".Newton County, Texas","12,217","12,158","12,212","12,041","12,039"
".Nolan County, Texas","14,734","14,721","14,605","14,460","14,306"
".Nueces County, Texas","353,175","353,398","353,292","351,590","352,289"
".Ochiltree County, Texas","10,015","9,955","9,768","9,692","9,704"
".Oldham County, Texas","1,758","1,763","1,734","1,761","1,783"
".Orange County, Texas","84,810","84,754","84,666","85,048","85,722"
".Palo Pinto County, Texas","28,413","28,452","28,742","29,322","29,747"
".Panola County, Texas","22,496","22,499","22,556","22,742","22,838"
".Parker County, Texas","148,220","149,552","157,088","165,938","173,494"
".Parmer County, Texas","9,870","9,854","9,784","9,649","9,617"
".Pecos County, Texas","15,198","15,187","15,117","14,711","14,623"
".Polk County, Texas","50,125","50,503","51,877","53,256","54,186"
".Potter County, Texas","118,522","118,275","116,461","114,911","114,647"
